year	congress	party	district	statenam	name	ngirls	nboys	totchi	anygirls	propgirls	rgroup	statabb	statalph	region	repub	srvlng	female	white	bday	age	demvote	medinc	perf	perw	perhs	percol	perur	alabort	moreserv	moredef	morecrimesp	protgay	dr1per	dr2per	dr3per	dr4per	dr5per	aauw	rtl	nowtot	now1	now2	now3	now4	now5	now6	now7	now8	now9	now10	now11	now12	now13	now14	now15	now16	now17	now18	now19	now20
"1997-1998"	105.0	2.0	3.0	"KENTUCK"	"NORTHUP, ANNE MEAGHER"	2	4	6.0	1.0	0.33333334	2.0	"KY"	18.0	"6"	1.0	1.0	0.0	1.0	1948-01-22	48.0	0.53	32863	0.54307854	0.80609936	0.741	0.19700001	0.9815581	0.2		0.0	0.8125	0.6	0.61	0.14	0.01	0.05	0.19	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1997-1998"	105.0	2.0	10.0	"GEORGIA"	"NORWOOD, CHARLES"	0	2	2.0	0.0	0.0	1.0	"GA"	11.0	"5"	1.0	3.0	0.0	1.0	1941-07-27	55.0	0.48	32582	0.5194216	0.803086	0.677	0.17899999	0.47289756	0.34615386	0.44727272	0.2524272	0.62702703	0.6315789	0.69	0.08	0.02	0.05	0.16	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1997-1998"	105.0	2.0	2.0	"IOWA"	"NUSSLE, JIM"	1	1	2.0	1.0	0.5	1.0	"IA"	16.0	"4"	1.0	7.0	0.0	1.0	1960-06-27	36.0	0.53	30470	0.52105236	0.97339123	0.77900004	0.138	0.510992	0.375	0.32	0.17948718	0.52272725	0.65217394	0.52	0.23	0.0	0.06	0.18	13	100	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"1997-1998"	105.0	1.0	8.0	"MINNESO"	"OBERSTAR, JAMES L."	4	2	6.0	1.0	0.6666667	2.0	"MN"	24.0	"4"	0.0	23.0	0.0	1.0	1934-09-10	62.0	0.53	30259	0.51152354	0.9693776	0.774	0.139	0.39543635	0.3605442	0.30081302	0.18466899	0.52459013	0.60897434	0.51	0.25	0.01	0.03	0.2	63	94	55	0	0	0	0	1	0	1	0	0	1	0	0	1	1	1	1	1	1	1	1
"1997-1998"	105.0	1.0	7.0	"WISCONS"	"OBEY, DAVID R."	0	2	2.0	0.0	0.0	2.0	"WI"	50.0	"3"	0.0	29.0	0.0	1.0	1938-10-03	58.0	0.49	30490	0.51353127	0.97225726	0.756	0.132	0.4122687	0.37906137	0.27542374	0.15969582	0.47517732	0.7092199	0.5	0.28	0.0	0.02	0.2	88	44	70	0	1	0	0	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1
"1997-1998"	105.0	1.0	1.0	"MASSACH"	"OLVER, JOHN W."	1	0	1.0	1.0	1.0	0.0	"MA"	22.0	"1"	0.0	7.0	0.0	1.0	1936-09-03	60.0	0.61	38762	0.5262076	0.93706036	0.78	0.214	0.6372851	0.58878505	0.40677965	0.17073171	0.6711111	0.7659575	0.24	0.44	0.01	0.08	0.23	100	5	95	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
"1997-1998"	105.0	1.0	27.0	"TEXAS"	"ORTIZ, SOLOMON"	1	1	2.0	1.0	0.5	1.0	"TX"	44.0	"7"	0.0	15.0	0.0	0.0	1938-06-03	58.0	0.57	24016	0.52741826	0.7872158	0.605	0.148	0.8618427	0.36551723	0.32517484	0.2549923	0.58533335	0.5652174	0.52	0.28	0.01	0.03	0.15	63	94	35	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	1
"1997-1998"	105.0	1.0	11.0	"NEW YOR"	"OWENS, MAJOR ROBERT ODELL"	1	4	5.0	1.0	0.2	1.0	"NY"	33.0	"2"	0.0	15.0	0.0	0.0	1936-06-28	60.0	0.9	29141	0.56646985	0.18659675	0.67	0.175	1.0	0.56880736	0.4726477	0.17092338	0.588551	0.7051282	0.3	0.38	0.0	0.12	0.19	100	5	95	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
"1997-1998"	105.0	2.0	4.0	"OHIO"	"OXLEY, MICHAEL G."	0	1	1.0	0.0	0.0	1.0	"OH"	36.0	"3"	1.0	17.0	0.0	1.0	1944-02-11	52.0	0.37	32105	0.5183883	0.9443161	0.753	0.113000005	0.5438789	0.38059703	0.36507937	0.19574468	0.5441176	0.59006214	0.54	0.19	0.01	0.06	0.2	0	100	15	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
"1997-1998"	105.0	2.0	48.0	"CALIFOR"	"PACKARD, RONALD C."	4	3	7.0	1.0	0.5714286	3.0	"CA"	5.0	"9"	1.0	15.0	0.0	1.0	1931-01-19	65.0	0.34	46683	0.48346505	0.8325549	0.86300004	0.277	0.891777	0.56766915	0.37880987	0.23116884	0.63414633	0.67287785	0.33	0.32	0.02	0.08	0.25	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1997-1998"	105.0	1.0	6.0	"NEW JER"	"PALLONE, FRANK, JR."	1	1	2.0	1.0	0.5	2.0	"NJ"	31.0	"2"	0.0	9.0	0.0	1.0	1951-10-30	45.0	0.54	49729	0.52176404	0.81817603	0.795	0.249	0.99680644	0.5555556	0.37719297	0.16475096	0.5729927	0.70714283	0.31	0.37	0.02	0.09	0.2	100	5	95	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
"1997-1998"	105.0	2.0	12.0	"NEW JER"	"PAPPAS, MICHAEL"						1.0	"NJ"	31.0	"2"	1.0	1.0	0.0	1.0	1960-12-29	36.0	0.48	62034	0.5151637	0.8960749	0.875	0.397	0.65901315	0.5555556	0.37719297	0.16475096	0.5729927	0.70714283	0.31	0.37	0.02	0.09	0.2	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1997-1998"	105.0	2.0	4.0	"MISSISS"	"PARKER, MIKE"	1	2	3.0	1.0	0.33333334	1.0	"MS"	25.0	"6"	1.0	9.0	0.0	1.0	1949-10-31	47.0	0.46	24491	0.5420622	0.58767	0.677	0.18100001	0.5267596						0.8	0.05	0.01	0.02	0.12	0	89	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"1997-1998"	105.0	1.0	8.0	"NEW JER"	"PASCRELL, WILLIAM J."	0	3	3.0	0.0	0.0	2.0	"NJ"	31.0	"2"	0.0	1.0	0.0	1.0	1937-01-27	59.0	0.58	46731	0.5332588	0.7473097	0.72400004	0.245	1.0	0.5555556	0.37719297	0.16475096	0.5729927	0.70714283	0.31	0.37	0.02	0.09	0.2	88	40	70	1	0	0	0	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1
"1997-1998"	105.0	1.0	2.0	"ARIZONA"	"PASTOR, ED"	2	0	2.0	1.0	1.0	2.0	"AZ"	3.0	"8"	0.0	5.0	0.0	1.0	1943-06-28	53.0	0.63	22650	0.5002353	0.6009861	0.59099996	0.092	0.90210533	0.51141554	0.23188406	0.2767857	0.6869565	0.664	0.36	0.29	0.06	0.06	0.22	100	5	85	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1
"1997-1998"	105.0	2.0	14.0	"TEXAS"	"PAUL, RON E."	3	2	5.0	1.0	0.6	1.0	"TX"	44.0	"7"	1.0	1.0	0.0	1.0	1935-08-20	61.0	0.42	29173	0.52418655	0.7774016	0.661	0.138	0.48707828	0.36551723	0.32517484	0.2549923	0.58533335	0.5652174	0.52	0.28	0.01	0.03	0.15	13	95	25	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1
"1997-1998"	105.0	2.0	27.0	"NEW YOR"	"PAXON, L. WILLIAM"	1	0	1.0	1.0	1.0	2.0	"NY"	33.0	"2"	1.0	9.0	0.0	1.0	1954-04-29	42.0	0.43	40025	0.5174399	0.9553518	0.80300003	0.22	0.4452792	0.56880736	0.4726477	0.17092338	0.588551	0.7051282	0.3	0.38	0.0	0.12	0.19	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1997-1998"	105.0	1.0	10.0	"NEW JER"	"PAYNE, DONALD M."	2	1	3.0	1.0	0.6666667	1.0	"NJ"	31.0	"2"	0.0	9.0	0.0	0.0	1934-07-16	62.0	0.82	34679	0.543675	0.32641643	0.65699995	0.146	0.998732	0.5555556	0.37719297	0.16475096	0.5729927	0.70714283	0.31	0.37	0.02	0.09	0.2	100	6	90	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1
"1997-1998"	105.0	2.0	7.0	"INDIANA"	"PEASE, EDWARD A."	0	0	0.0	0.0	0.0	1.0	"IN"	15.0	"3"	1.0	1.0	0.0	1.0	1951-05-22	45.0	0.35	33877	0.51092535	0.9628636	0.78800005	0.174	0.5197848	0.24340177	0.26408452	0.25236592	0.53846157	0.5257143	0.55	0.2	0.01	0.05	0.19	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1997-1998"	105.0	1.0	8.0	"CALIFOR"	"PELOSI, NANCY"	4	1	5.0	1.0	0.8	2.0	"CA"	5.0	"9"	0.0	11.0	1.0	1.0	1940-03-26	56.0	0.66	36960	0.49319354	0.519912	0.763	0.338	0.99990404	0.56766915	0.37880987	0.23116884	0.63414633	0.67287785	0.33	0.32	0.02	0.08	0.25	100	5	95	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
